Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh)	Vietnamese (vi)
app_name	Flash Alert	تنبيه فلاش	Bleskové upozornění	Blitzalarm	Flash Alert	Alerta de destello	Välguhoiatus	Flash-hälytys	Alerte Flash	फ्लैश अलर्ट	Peringatan Kilat	Avviso flash	フラッシュアラート	ការជូនដំណឹងពន្លឺ	ಫ್ಲ್ಯಾಶ್ ಎಚ್ಚರಿಕೆ	플래시 경고	Flash ເຕືອນ	Flash Alert	Makluman Kilat	Flitswaarschuwing	Alarm Flash	Alerta Flash	Вспышка оповещения	การแจ้งเตือนแบบแฟลช	Flaş Uyarısı	Flash Alert	闪光警报	Cảnh báo nhấp nháy
this_action_may_contain_ads	This action may contain ads…	قد يحتوي هذا الإجراء على إعلانات...	Tato akce může obsahovat reklamy…	Diese Aktion kann Werbung enthalten…	Αυτή η ενέργεια μπορεί να περιέχει διαφημίσεις…	Esta acción puede contener anuncios...	See toiming võib sisaldada reklaame…	Tämä toiminto saattaa sisältää mainoksia…	Cette action peut contenir des publicités…	इस कार्रवाई में विज्ञापन शामिल हो सकते हैं...	Tindakan ini mungkin berisi iklan…	Questa azione può contenere annunci...	このアクションには広告が含まれる可能性があります…	សកម្មភាពនេះអាចមានការផ្សាយពាណិជ្ជកម្ម…	ಈ ಕ್ರಿಯೆಯು ಜಾಹೀರಾತುಗಳನ್ನು ಒಳಗೊಂಡಿರಬಹುದು...	이 작업에는 광고가 포함될 수 있습니다…	ຄຳສັ່ງນີ້ອາດມີໂຄສະນາ...	Šī darbība var ietvert reklāmas…	Tindakan ini mungkin mengandungi iklan…	Deze actie kan advertenties bevatten...	Ta akcja może zawierać reklamy…	Esta ação pode conter anúncios…	Это действие может содержать рекламу…	การดำเนินการนี้อาจมีโฆษณา...	Bu eylem reklam içerebilir…	Ця дія може містити рекламу…	此操作可能包含广告...	Hành động này có thể chứa quảng cáo…
flash_alert	Flash Alert	تنبيه فلاش	Bleskové upozornění	Blitzalarm	Flash Alert	Alerta de destello	Välguhoiatus	Flash-hälytys	Alerte Flash	फ्लैश अलर्ट	Peringatan Kilat	Avviso flash	フラッシュアラート	ការជូនដំណឹងពន្លឺ	ಫ್ಲ್ಯಾಶ್ ಎಚ್ಚರಿಕೆ	플래시 경고	Flash ເຕືອນ	Flash Alert	Makluman Kilat	Flitswaarschuwing	Alarm Flash	Alerta Flash	Вспышка оповещения	การแจ้งเตือนแบบแฟลช	Flaş Uyarısı	Flash Alert	闪光警报	Cảnh báo
flash_light	Flash Light	ضوء الفلاش	Bleskové světlo	Blitzlicht	Φως φλας	Linterna	Taskulamp	Salamavalo	Lampe torche	फ़्लैश लाइट	Lampu Flash	Luce flash	フラッシュライト	ពន្លឺភ្លើង	ಫ್ಲ್ಯಾಶ್ ಲೈಟ್	플래시 라이트	ແສງ Flash	Zibspuldze	Lampu kilat	Zaklamp	Latarka	Luz Flash	Вспышка	ไฟฉาย	El feneri	Спалах світла	手电筒	Đèn flash
setting	Settings	جلسة	Nastavení	Einstellung	Σύνθεση	Configuración	Seadistamine	Asetus	Paramètre	सेटिंग	Pengaturan	Collocamento	設定	ការកំណត់	ಸೆಟ್ಟಿಂಗ್	환경	ການຕັ້ງຄ່າ	Iestatījums	Tetapan	Instelling	Ustawienie	Contexto	Параметр	การตั้งค่า	Ayar	Налаштування	环境	Cài đặt
incomming_calls	Incomming calls	المكالمات الواردة	Příchozí hovory	Eingehende Anrufe	Εισερχόμενες κλήσεις	llamadas entrantes	Sissetulevad kõned	Saapuvat puhelut	Appels entrants	इनकमिंग कॉल	Panggilan masuk	Chiamate in arrivo	着信	ការហៅចូល	ಒಳಬರುವ ಕರೆಗಳು	수신 전화	ສາຍໂທເຂົ້າ	Ienākošie zvani	Panggilan masuk	Inkomende oproepen	Połączenia przychodzące	Chamadas recebidas	Входящие звонки	สายเรียกเข้า	Gelen aramalar	Вхідні дзвінки	来电	Cuộc gọi đến
sms	SMS	رسالة قصيرة	SMS	SMS	γραπτό μήνυμα	SMS	SMS	tekstiviesti	SMS	एसएमएस	SMS	sms	SMS	សារ	SMS	SMS	ຂໍ້​ຄວາມ	īsziņa	SMS	sms	SMS-em	SMS	SMS	ข้อความ	SMS	СМС	短信	Tin nhắn
notifications	Notifications	إشعارات	Oznámení	Benachrichtigungen	Ειδοποιήσεις	Notificaciones	Märguanded	Ilmoitukset	Notifications	सूचनाएं	Pemberitahuan	Notifiche	通知	ការជូនដំណឹង	ಅಧಿಸೂಚನೆಗಳು	알림	ການແຈ້ງເຕືອນ	Paziņojumi	Pemberitahuan	Meldingen	Powiadomienia	Notificações	Уведомления	การแจ้งเตือน	Bildirimler	Сповіщення	通知	Thông báo
permission	Permission	إذن	Povolení	Erlaubnis	Αδεια	Permiso	Luba	Lupa	Autorisation	अनुमति	Izin	Autorizzazione	許可	ការអនុញ្ញាត	ಅನುಮತಿ	허가	ການອະນຸຍາດ	Atļauja	kebenaran	Toestemming	Pozwolenie	Permissão	Разрешение	การอนุญาต	İzin	Дозвіл	允许	Sự cho phép
des_permission_read_notification	The application needs permission to read notifications to perform this function. We are committed to protecting your personal information and will not use information from notifications for any purpose other than providing the features described.	يحتاج التطبيق إلى إذن لقراءة الإشعارات لأداء هذه الوظيفة. نحن ملتزمون بحماية معلوماتك الشخصية ولن نستخدم المعلومات الواردة من الإشعارات لأي غرض آخر غير توفير الميزات الموضحة.	K provedení této funkce potřebuje aplikace oprávnění ke čtení oznámení. Zavázali jsme se chránit vaše osobní údaje a nebudeme používat informace z oznámení k jiným účelům, než je poskytování popsaných funkcí.	Um diese Funktion auszuführen, benötigt die Anwendung die Berechtigung zum Lesen von Benachrichtigungen. Wir verpflichten uns zum Schutz Ihrer persönlichen Daten und werden Informationen aus Benachrichtigungen nicht für andere Zwecke als die Bereitstellung der beschriebenen Funktionen verwenden.	Η εφαρμογή χρειάζεται άδεια ανάγνωσης ειδοποιήσεων για να εκτελέσει αυτήν τη λειτουργία. Δεσμευόμαστε να προστατεύουμε τα προσωπικά σας στοιχεία και δεν θα χρησιμοποιήσουμε πληροφορίες από ειδοποιήσεις για οποιονδήποτε άλλο σκοπό εκτός από την παροχή των χαρακτηριστικών που περιγράφονται.	La aplicación necesita permiso para leer notificaciones para realizar esta función. Nos comprometemos a proteger su información personal y no utilizaremos la información de las notificaciones para ningún otro propósito que no sea proporcionar las funciones descritas.	Rakendus vajab selle funktsiooni täitmiseks luba teadete lugemiseks. Oleme pühendunud teie isikuandmete kaitsmisele ega kasuta teavitustes sisalduvat teavet muul eesmärgil kui kirjeldatud funktsioonide pakkumiseks.	Sovellus tarvitsee luvan lukea ilmoituksia suorittaakseen tämän toiminnon. Olemme sitoutuneet suojaamaan henkilötietojasi emmekä käytä ilmoituksista saatuja tietoja mihinkään muuhun tarkoitukseen kuin kuvattujen ominaisuuksien tarjoamiseen.	L'application a besoin de l'autorisation de lire les notifications pour exécuter cette fonction. Nous nous engageons à protéger vos informations personnelles et n'utiliserons pas les informations provenant des notifications à d'autres fins que celles décrites.	इस फ़ंक्शन को निष्पादित करने के लिए एप्लिकेशन को सूचनाएं पढ़ने की अनुमति की आवश्यकता है। हम आपकी व्यक्तिगत जानकारी की सुरक्षा के लिए प्रतिबद्ध हैं और वर्णित सुविधाओं को प्रदान करने के अलावा किसी अन्य उद्देश्य के लिए सूचनाओं से जानकारी का उपयोग नहीं करेंगे।	Aplikasi memerlukan izin untuk membaca notifikasi untuk menjalankan fungsi ini. Kami berkomitmen untuk melindungi informasi pribadi Anda dan tidak akan menggunakan informasi dari notifikasi untuk tujuan apa pun selain menyediakan fitur yang dijelaskan.	L'applicazione necessita dell'autorizzazione per leggere le notifiche per eseguire questa funzione. Ci impegniamo a proteggere le tue informazioni personali e non utilizzeremo le informazioni provenienti dalle notifiche per scopi diversi dal fornire le funzionalità descritte.	アプリケーションがこの機能を実行するには、通知を読み取る権限が必要です。当社はお客様の個人情報の保護に努めており、記載されている機能を提供する以外の目的で通知からの情報を使用することはありません。	កម្មវិធីត្រូវការការអនុញ្ញាតដើម្បីអានការជូនដំណឹង ដើម្បីអនុវត្តមុខងារនេះ។ យើងប្តេជ្ញាការពារព័ត៌មានផ្ទាល់ខ្លួនរបស់អ្នក ហើយនឹងមិនប្រើប្រាស់ព័ត៌មានពីការជូនដំណឹងសម្រាប់គោលបំណងណាមួយក្រៅពីការផ្តល់លក្ខណៈពិសេសដែលបានពិពណ៌នានោះទេ។	ಈ ಕಾರ್ಯವನ್ನು ನಿರ್ವಹಿಸಲು ಅಧಿಸೂಚನೆಗಳನ್ನು ಓದಲು ಅಪ್ಲಿಕೇಶನ್‌ಗೆ ಅನುಮತಿಯ ಅಗತ್ಯವಿದೆ. ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ರಕ್ಷಿಸಲು ನಾವು ಬದ್ಧರಾಗಿದ್ದೇವೆ ಮತ್ತು ವಿವರಿಸಿದ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಒದಗಿಸುವುದನ್ನು ಹೊರತುಪಡಿಸಿ ಯಾವುದೇ ಉದ್ದೇಶಕ್ಕಾಗಿ ಅಧಿಸೂಚನೆಗಳಿಂದ ಮಾಹಿತಿಯನ್ನು ಬಳಸುವುದಿಲ್ಲ.	이 기능을 수행하려면 애플리케이션에 알림을 읽을 수 있는 권한이 필요합니다. 당사는 귀하의 개인 정보를 보호하기 위해 최선을 다하고 있으며 설명된 기능을 제공하는 것 이외의 어떤 목적으로도 알림 정보를 사용하지 않을 것입니다.	ແອັບພລິເຄຊັນຕ້ອງການການອະນຸຍາດອ່ານການແຈ້ງເຕືອນເພື່ອເຮັດໜ້າທີ່ນີ້. ພວກເຮົາມຸ່ງໝັ້ນທີ່ຈະປົກປ້ອງຂໍ້ມູນສ່ວນຕົວຂອງເຈົ້າ ແລະຈະບໍ່ໃຊ້ຂໍ້ມູນຈາກການແຈ້ງເຕືອນເພື່ອຈຸດປະສົງອື່ນນອກເໜືອໄປຈາກການສະໜອງຄຸນສົມບັດທີ່ໄດ້ອະທິບາຍໄວ້.	Lai veiktu šo funkciju, lietojumprogrammai ir nepieciešama atļauja lasīt paziņojumus. Mēs esam apņēmušies aizsargāt jūsu personisko informāciju un neizmantosim informāciju no paziņojumiem citiem mērķiem, izņemot aprakstīto funkciju nodrošināšanai.	Aplikasi memerlukan kebenaran untuk membaca pemberitahuan untuk melaksanakan fungsi ini. Kami komited untuk melindungi maklumat peribadi anda dan tidak akan menggunakan maklumat daripada pemberitahuan untuk sebarang tujuan selain daripada menyediakan ciri yang diterangkan.	De applicatie heeft toestemming nodig om meldingen te lezen om deze functie uit te voeren. We doen er alles aan om uw persoonlijke gegevens te beschermen en zullen de informatie uit meldingen niet voor enig ander doel gebruiken dan het bieden van de beschreven functies.	Aby móc korzystać z tej funkcji, aplikacja potrzebuje uprawnień do odczytu powiadomień. Zobowiązujemy się chronić Twoje dane osobowe i nie będziemy wykorzystywać informacji z powiadomień do celów innych niż zapewnienie opisanych funkcji.	O aplicativo precisa de permissão para ler notificações para executar esta função. Estamos comprometidos em proteger suas informações pessoais e não usaremos as informações das notificações para qualquer outro fim que não seja o fornecimento dos recursos descritos.	Для выполнения этой функции приложению необходимо разрешение на чтение уведомлений. Мы обязуемся защищать вашу личную информацию и не будем использовать информацию из уведомлений для каких-либо целей, кроме предоставления описанных функций.	แอปพลิเคชันต้องการสิทธิ์ในการอ่านการแจ้งเตือนเพื่อใช้งานฟังก์ชันนี้ เรามุ่งมั่นที่จะปกป้องข้อมูลส่วนบุคคลของคุณและจะไม่ใช้ข้อมูลจากการแจ้งเตือนเพื่อวัตถุประสงค์อื่นใดนอกเหนือจากการให้บริการคุณสมบัติที่อธิบายไว้	Uygulamanın bu işlevi gerçekleştirmek için bildirimleri okuma iznine ihtiyacı var. Kişisel bilgilerinizi korumaya kararlıyız ve bildirimlerdeki bilgileri açıklanan özelliklerin sağlanması dışında herhangi bir amaçla kullanmayacağız.	Для виконання цієї функції програмі потрібен дозвіл на читання сповіщень. Ми прагнемо захищати вашу особисту інформацію та не будемо використовувати інформацію зі сповіщень для будь-яких інших цілей, окрім надання описаних функцій.	应用程序需要读取通知的权限才能执行此功能。我们致力于保护您的个人信息，除了提供所述功能之外，不会将通知中的信息用于任何其他目的。	Ứng dụng cần có quyền đọc thông báo để thực hiện chức năng này. Chúng tôi cam kết bảo vệ thông tin cá nhân của bạn và sẽ không sử dụng thông tin từ các thông báo cho bất kỳ mục đích nào khác ngoài việc cung cấp các tính năng được mô tả.
