Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
cancel	Cancel	يلغي	zrušení	Stornieren	Ματαίωση	Cancelar	Tühistama	Peruuttaa	Annuler	रद्द करना	Membatalkan	Annulla	キャンセル	លប់ចោល	ರದ್ದುಮಾಡು	취소	ຍົກເລີກ	Atcelt	Batalkan	Annuleren	Anulować	Cancelar	Отмена	ยกเลิก	İptal etmek	Скасувати	取消	Hủy bỏ
done	Done	منتهي	Hotovo	Erledigt	Εγινε	Hecho	Tehtud	Tehty	Fait	हो गया	Selesai	Fatto	終わり	រ្យេឱដេនោ	ಮುಗಿದ	완료	ແລ້ວ? ແລ້ວ	Darīts	Selesai	Klaar	Zrobione	Feito	Сделанный	เสร็จแล้ว	Tamamlamak	Зроблений	完毕	Xong
send	Send	يرسل	Poslat	Schicken	Στείλετε	Enviar	Saada	Lähettää	Envoyer	भेजना	Mengirim	Inviare	送信	ផ្ញើរ	ಕಳುಹಿಸು	보내다	ສົ່ງ	Nosūtīt	Hantar	Versturen	Wysłać	Enviar	Отправлять	ส่ง	Göndermek	Надсилати	发送	Gửi
ok	OK	نعم	OK	OK	Εντάξει	DE ACUERDO	Okei	Hyvä	D'ACCORD	ठीक है	OKE	OK	わかりました	យល់ព្រម	ಸರಿ	좋아요	ຕົກ​ລົງ	labi	okey	OK	OK	OK	ХОРОШО	ตกลง	TAMAM	в порядку	好的	Đồng ý
edit	Edit	يحرر	Upravit	Bearbeiten	Επεξεργασία	Editar	Redigeerima	Muokata	Modifier	संपादन करना	Edit	Modificare	編集	បិនិត្យ	ತಿದ್ದು	편집하다	ແກ້ໄຂ	Rediģēt	Edit	Bewerking	Edytować	Editar	Редактировать	แก้ไข	Düzenlemek	Редагувати	编辑	Chỉnh sửa
select	Select	يختار	Vybrat	Wählen	Επιλέγω	Seleccionar	Valima	Valita	Sélectionner	चुनना	Pilih	Selezionare	選択する	រេចីសរើស	ಆಯ್ಕೆ ಮಾಡಿ	선택하다	ເລືອກ	Atlasīt	Pilih	Uitkiezen	Wybierać	Selecione	Выбирать	เลือก	Seçme	Обраний	选择	Chọn
selected	Selected	المحدد	Vybraný	Ausgewählt	Επιλεγμένος	Seleccionado	Valitud	Valittu	Choisi	चयनित	Terpilih	Selezionato	選択	បានជ្រើស	ಆಯ್ದ	선택된	ຄັດເລືອກ	Atlasīts	Dipilih	Geselecteerd	Wybrany	Selecionado	Выбран	ที่เลือก	Seçilmiş	Обраний	选定	Đã chọn
delete	Delete	يمسح	Vymazat	Löschen	Διαγράφω	Borrar	Kustutama	Poistaa	Supprimer	मिटाना	Menghapus	Eliminare	消去	របៅបេលរសច	ಅಳಿಸು	삭제	ລົບ	Dzēst	Padam	Verwijderen	Usuwać	Excluir	Удалить	ลบ	Silmek	Видаляти	删除	Xóa
share	Share	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Osakaal	Jaa	Partager	शेयर करना	Membagikan	Condividere	共有	ការរមលេក	ಹಂಚು	공유하다	ສ່ວນ	Akcija	Berkongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Розподіляти	分享	Chia sẻ
completed	Completed!	مكتمل!	Dokončené!	Vollendet!	Ολοκληρώθηκε το!	¡Terminado!	Valmis!	Valmis!	Complété!	पुरा होना!	Lengkap!	Completato!	完成！	បានបញ្ចប់!	ಪೂರ್ಣಗೊಂಡಿದೆ!	완전한!	ສໍາເລັດ!	Pabeigts!	Selesai!	Voltooid!	Zakończony!	Concluído!	Завершенный!	สมบูรณ์!	Tamamlanmış!	Завершено!	完全的！	Hoàn thành!
error	Error!	خطأ!	Chyba!	Fehler!	Λάθος!	¡Error!	Viga!	Virhe!	Erreur!	गलती!	Kesalahan!	Errore!	エラー！	កំហុស!	ದೋಷ!	오류!	ຂໍ້ຜິດພາດ!	Kļūda!	Ralat!	Fout!	Błąd!	Erro!	Ошибка!	ข้อผิดพลาด!	Hata!	Помилка!	错误！	Lỗi!
search	Search	يبحث	Vyhledávání	Suchen	Αναζήτηση	Buscar	Otsing	Hae	Recherche	खोज	Mencari	Ricerca	検索	ការឆេកឆេ	ಹುಡುಕಿ Kannada	찾다	ຄົ້ນຫາ	Meklēt	Cari	Zoekopdracht	Szukaj	Procurar	Поиск	ค้นหา	Aramak	Обшук	搜索	Tìm kiếm
settings	Settings	إعدادات	Nastavení	Einstellungen	Ρυθμίσεις	Ajustes	Sätted	asetukset	Paramètres	समायोजन	Pengaturan	Impostazioni	設定	ការកំណត់	ಸಂಯೋಜನೆಗಳು	설정	ການກໍານົດ	Iestatījumi	Tetapan	Instellingen	Ustawienia	Configurações	Настройки	การตั้งค่า	Ayarlar	Налаштування	设置	Cài đặt
version	Version	إصدار	Verze	Ausführung	Εκδοχή	Versión	Versioon	Versio	Version	संस्करण	Versi: kapan	Versione	バージョン	កមបុរក្នា	ಆವೃತ್ತಿ	버전	ສະບັບ	Versija	Versi	Versie	Wersja	Versão	Версия	รุ่น	Versiyon	Версія	版本	Phiên bản
password	Password	كلمة المرور	Heslo	Passwort	Κωδικός πρόσβασης	Contraseña	Parool	Salasana	Mot de passe	पासवर्ड	Kata sandi	Parola d'ordine	パスワード	ហក្យសមងាត់	ಗುಪ್ತಪದ	비밀번호	ລະຫັດຜ່ານ	Parole	Kata laluan	Wachtwoord	Hasło	Senha	Пароль	รหัสผ่าน	Şifre	Пароль	密码	Mật khẩu
noResult	No results	لا نتائج	Žádné výsledky	Keine Ergebnisse	Χωρίς αποτέλεσμα	No hay resultados	Tulemused puuduvad	Ei tuloksia	Aucun résultat	कोई परिणाम नहीं	Tidak ada hasil	Nessun risultato	結果がありません	គ្មាន​លទ្ធផល	ಫಲಿತಾಂಶಗಳಿಲ್ಲ	결과가 없습니다	ບໍ່ມີຜົນໄດ້ຮັບ	Nav rezultātu	Tiada keputusan	Geen resultaten	Brak wyników	Sem resultados	Без результатов	ไม่มีผลลัพธ์	Sonuç yok	Немає результатів	没有结果	Không có kết quả
forString	for	ل	pro	für	Για	para	jaoks	puolesta	pour	के लिए	untuk	per	のために	សរមាប់	ಇದಕ್ಕೆ	~을 위한	ສໍາລັບ	priekš	untuk	voor	Do	para	для	สำหรับ	için	для	为了	cho
phone	Phone	هاتف	Telefon	Telefon	Τηλέφωνο	Teléfono	Telefon	Puhelin	Téléphone	फ़ोन	Telepon	Telefono	電話	ទូរស័ព្ទ	ದೂರವಾಣಿ	핸드폰	ໂທລະສັບ	Telefons	Telefon	Telefoon	Telefon	Telefone	Телефон	โทรศัพท์	Telefon	Телефон	电话	Điện thoại
other	Other	آخر	jiný	Andere	Αλλα	Otro	Teine	Muut	Autre	अन्य	Lainnya	Altro	他の	ផ្សេងទៀត	ಬೇರೆ	다른	ອື່ນ	Cits	Yang lain	Ander	Inny	Outro	Другой	อื่น	Diğer	Інший	其他	Khác
home	Home	بيت	Domov	Heim	Σπίτι	Hogar	Kodu	Koti	Maison	घर	Rumah	Casa	家	ផ្ទហ	ಮನೆ	집	ບ້ານ	Mājas	Rumah	Thuis	Dom	Lar	Дом	บ้าน	Ev	Домашній	家	Trang chủ
restorePurchase	Restore Purchase	استعادة شراء	Obnovit nákup	Kauf wiederherstellen	Επαναφορά αγοράς	Compra de restauración	Ostu taastamine	Palauta osto	Restaurer l'achat	पुनःस्थापन क्रय	Kembalikan pembelian	Ripristinare acquisto	購入商品を復元する	ស្តា​រ​ការ​ទិញ	ಖರೀದಿಯನ್ನು ಮರುಸ್ಥಾಪಿಸಿ	구매를 복원하십시오	ຟື້ນຟູການຊື້	Atjaunot pirkumu	Memulihkan pembelian	Herstel aankoop	Przywróć zakup	Restaurar compra	Восстановить покупку	กู้คืนการซื้อ	Satın Alma Geri Yükle	Відновити придбання	恢复购买	Khôi phục mua hàng
feedback	Feedback	تعليق	Zpětná vazba	Rückmeldung	Ανατροφοδότηση	Comentario	Tagasiside	Palaute	Retour	प्रतिक्रिया	Masukan	Feedback	フィードバック	មតិប្រតិកម្ម	ಪ್ರತಿಕ್ರಿಯೆ	피드백	ຄໍາຕິຊົມ	Atsauksmes	Maklum balas	Feedback	Informacja zwrotna	Opinião	Обратная связь	ข้อเสนอแนะ	Geri bildirim	Зворотний зв'язок	反馈	Phản hồi
shareApp	Share	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Osakaal	Jaa	Partager	शेयर करना	Membagikan	Condividere	共有	ការរមលេក	ಹಂಚು	공유하다	ສ່ວນ	Akcija	Berkongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Розподіляти	分享	Chia sẻ
rateAndReview	Rate ______ Review	مراجعة معدل	Sazba a recenze	Rate ______ Review	Βαθμολογία ______ κριτική	Revisión de tasas	Hindama ja ülevaade	Arviointi ja arviointi	Tarif et examen	दर और समीक्षा	Nilai ______ Ulasan	Tariffa e revisione	レートとレビュー	អត្រានិងការត្រួតពិនិត្យ	ದರ ಮತ್ತು ವಿಮರ್ಶೆ	속도 및 검토	ອັດຕາແລະການທົບທວນ	Likme un pārskats	Kadar ______ Kajian	Tarief ______ beoordeling	Stawka i przegląd	Taxa e revisão	Скорость и обзор	ให้คะแนนและทบทวน	Oran incelemesi	Цінність та огляд	费率和评论	Nhận xét ______ Đánh giá
term	Terms and Conditions	الأحكام والشروط	Pravidla a podmínky	Geschäftsbedingungen	Οροι και Προϋποθέσεις	Términos y condiciones	Tingimused	Käyttöehdot	Termes et conditions	नियम और शर्तें	syarat dan Ketentuan	Termini e Condizioni	利用規約	ល័ក្ខខ័ណ្ឌ	ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು	이용 약관	ຂໍ້ກໍານົດແລະເງື່ອນໄຂ	Noteikumi un nosacījumi	Terma dan syarat	Voorwaarden	Regulamin	Termos e Condições	Условия и положения	ข้อกำหนดและเงื่อนไข	Şartlar ve koşullar	Правила та умови	条款和条件	Các điều khoản và điều kiện
policy	Privacy Policy	سياسة الخصوصية	Zásady ochrany osobních údajů	Datenschutzrichtlinie	Πολιτική απορρήτου	política de privacidad	Privaatsuspoliitika	Tietosuojakäytäntö	politique de confidentialité	गोपनीयता नीति	Kebijakan pribadi	politica sulla riservatezza	プライバシーポリシー	គោលការណ៍​ភាព​ឯកជន	ಗೌಪ್ಯತಾ ನೀತಿ	개인 정보 정책	ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ	Privātuma politika	Dasar Privasi	Privacybeleid	Polityka prywatności	política de Privacidade	политика конфиденциальности	นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політика конфіденційності	隐私政策	Chính sách bảo mật
darkMode	Dark Mode	الوضع المظلم	Tmavý režim	Dunkler Modus	Σκούρα λειτουργία	Modo oscuro	Tume režiim	Tumma tila	Mode sombre	डार्क मोड	Mode gelap	Modalità scura	ダークモード	របៀបងងឹត	ಕತ್ತಲೆ ಕ್ರಮ	다크 모드	ຮູບແບບຊ້ໍາ	Tumšais režīms	Mod gelap	Donkere modus	Tryb ciemny	Modo escuro	Темный режим	โหมดมืด	Karanlık mod	Темний режим	黑暗模式	Chế độ tối
languages	Languages	اللغات	Jazyky	Sprachen	Γλώσσες	Lenguas	Keeled	Kieli (kielet	Langues	बोली	Bahasa	Le lingue	言語	បដា	ಭಾಷೆಗಳ	언어	ພາສາ	Valodas	Bahasa	Talen	Języki	línguas	Языки	ภาษา	Diller	Мови	语言	Ngôn ngữ
