Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
app_title	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette	Touch Roulette
app_name	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions	Touch Roulette: Make Decisions
this_action_may_contain_ads	This action may contain ads	قد يحتوي هذا الإجراء على إعلانات	Tato akce může obsahovat reklamy	Diese Aktion kann Werbung enthalten	Αυτή η ενέργεια μπορεί να περιέχει διαφημίσεις	Esta acción puede contener anuncios.	See toiming võib sisaldada reklaame	Tämä toiminto voi sisältää mainoksia	Cette action peut contenir des annonces	इस क्रिया में विज्ञापन शामिल हो सकते हैं	Tindakan ini mungkin berisi iklan	Questa azione può contenere annunci	このアクションには広告が含まれる可能性があります	សកម្មភាពនេះអាចមានការផ្សាយពាណិជ្ជកម្ម	ಈ ಕ್ರಿಯೆಯು ಜಾಹೀರಾತುಗಳನ್ನು ಒಳಗೊಂಡಿರಬಹುದು	이 작업에는 광고가 포함될 수 있습니다.	ຄຳສັ່ງນີ້ອາດມີໂຄສະນາ	Šī darbība var ietvert reklāmas	Tindakan ini mungkin mengandungi iklan	Deze actie kan advertenties bevatten	Ta akcja może zawierać reklamy	Esta ação pode conter anúncios	Это действие может содержать рекламу	การดำเนินการนี้อาจมีโฆษณา	Bu işlem reklam içerebilir	Ця дія може містити рекламу	此操作可能包含广告	Hành động này có thể chứa quảng cáo
chooser	Chooser	منتقي	Výběr	Wähler	Εκλέγων	Elección	Valija	Valitsija	Sélecteur	चयनकर्ता	Pemilih	Selezionatore	セレクター	អ្នកជ្រើសរើស	ಆಯ್ಕೆ ಮಾಡುವವರು	선택자	ໂຕເລືອກ	Izvēlētājs	Pemilih	Kiezer	Wybieracz	Seletor	Выбор	ตัวเลือก	Seçici	Вибір	选择器	Trình chọn
homograft	Homograft	طعم متجانس	Homograft	Homotransplantat	Ομομόσχευμα	Homoinjerto	Homograft	Homograft	Homogreffe	होमोग्राफ़्ट	Homograft	Omotrapianto	同種移植片	Homograft	ಹೋಮೋಗ್ರಾಫ್ಟ್	동종 이식	Homograft	Homotransplantāts	Homograf	Homograft	Homograft	Homoenxerto	Гомографт	โฮโมกราฟต์	Homograft	гомотрансплантат	同种移植物	Bắt cặp
ranking	Ranking	تصنيف	Pořadí	Rang	Κατάταξη	Categoría	Edetabel	Sijoitus	Classement	श्रेणी	Peringkat	Classifica	ランキング	ចំណាត់ថ្នាក់	ಶ್ರೇಯಾಂಕ	순위	ອັນດັບ	Ranking	Kedudukan	Ranglijst	Zaszeregowanie	Classificação	Рейтинг	การจัดอันดับ	Sıralama	Рейтинг	排行	Xếp hạng
spinner_wheel	Spinner Wheel	عجلة سبينر	Spinner Wheel	Spinnerrad	Περιστρεφόμενος τροχός	Rueda giratoria	Spinneri ratas	Spinner pyörä	Roue tournante	स्पिनर व्हील	Roda Pemintal	Ruota girevole	スピナーホイール	កង់វិល	ಸ್ಪಿನ್ನರ್ ವ್ಹೀಲ್	스피너 휠	ລໍ້ Spinner	Spinera ritenis	Roda Pemintal	Spinnerwiel	Koło obrotowe	Roda giratória	Вращающееся колесо	ล้อปินเนอร์	Döndürücü Çark	Spinner Wheel	旋转轮	Xoay vòng
settings	Settings	إعدادات	Nastavení	Einstellungen	Ρυθμίσεις	Ajustes	Seaded	Asetukset	Paramètres	सेटिंग्स	Pengaturan	Impostazioni	設定	ការកំណត់	ಸೆಟ್ಟಿಂಗ್‌ಗಳು	설정	ການຕັ້ງຄ່າ	Iestatījumi	tetapan	Instellingen	Ustawienia	Configurações	Настройки	การตั้งค่า	Ayarlar	Налаштування	设置	Cài đặt
new_roulette	New Roulette	الروليت الجديدة	Nová ruleta	Neues Roulette	Νέα Ρουλέτα	Nueva Ruleta	Uus rulett	Uusi ruletti	Nouvelle roulette	नया रूलेट	Roulette Baru	Nuova roulette	新しいルーレット	រ៉ូឡែតថ្មី។	ಹೊಸ ರೂಲೆಟ್	새로운 룰렛	ຮູເລັດໃໝ່	Jauna rulete	Rolet Baru	Nieuwe roulette	Nowa ruletka	Nova Roleta	Новая рулетка	รูเล็ตใหม่	Yeni Rulet	Нова рулетка	新轮盘赌	Roulette mới
roullete	Roullete	الروليت	Ruleta	Roulette	Ρουλέτα	ruleta	Rulett	Ruletti	Roulette	रूलेट	rolet	Roulette	ルーレット	រ៉ូឡែត	ರೂಲೆಟ್	룰렛	Roullete	Rulete	Roullete	Roulette	Ruletka	Roleta	рулетка	รูเล็ต	Rulet	Рулетка	轮盘赌	Roulette
