Group Keys	Text Keys	Base(en)	Vietnamese (vi)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)
general	appName	Weighing Produce	Cân Nông Sản	وزن المنتجات	Vážení produkce	Wiegen von Produkten	Ζύγιση Προϊόν	Pesaje de productos	Toote kaalumine	Punnitustuote	Peser les produits	उपज का वजन	Menimbang Hasil	Pesatura dei prodotti	農産物の計量	ថ្លឹងផលិតផល	ತೂಕದ ಉತ್ಪನ್ನ	농산물 계량	ການຊັ່ງນໍ້າໜັກສິນຄ້າ	Produktu svēršana	Menimbang Hasil	Producten wegen	Ważenie produktu	Pesando Produtos	Взвешивание продуктов	การชั่งน้ำหนักผลผลิต	Tartım Ürünleri	Зважування продукції	称重产品
tabbar	calculator	Calculator	Máy tính	آلة حاسبة	Kalkulačka	Kalkulator	Αριθμομηχανή	Calculadora	Kalkulaator	Laskin	Calculatrice	कैलकुलेटर	Kalkulator	Calcolatrice	電卓	ម៉ាស៊ីនគិតលេខ	ಕ್ಯಾಲ್ಕುಲೇಟರ್	계산자	ເຄື່ອງຄິດເລກ	Kalkulators	Kalkulator	Rekenmachine	Kalkulator	Calculadora	Калькулятор	เครื่องคิดเลข	Hesap Makinesi	Калькулятор	计算器
tabbar	weighing	Weighing	Cân	وزن	Vážení	Wiegen	Ζύγισμα	Peso	Kaalumine	Punnitus	Pesée	वजन	Menimbang	Pesatura	計量	ថ្លឹង	ತೂಗುತ್ತಿದೆ	계량	ນ້ຳໜັກ	Svēršana	Menimbang	Weging	Ważenie	Pesagem	Взвешивание	การชั่งน้ำหนัก	Tartım	зважування	称重
tabbar	settings	Settings	Cài đặt	إعدادات	Nastavení	Einstellungen	Ρυθμίσεις	Ajustes	Seaded	Asetukset	Paramètres	सेटिंग्स	Pengaturan	Impostazioni	設定	ការកំណត់	ಸೆಟ್ಟಿಂಗ್‌ಗಳು	설정	ການຕັ້ງຄ່າ	Iestatījumi	tetapan	Instellingen	Ustawienia	Configurações	Настройки	การตั้งค่า	Ayarlar	Налаштування	设置
screen	weighing_summary	Summary	Tổng hợp	ملخص	Shrnutí	Zusammenfassung	Περίληψη	Resumen	Kokkuvõte	Yhteenveto	Résumé	सारांश	Ringkasan	Riepilogo	まとめ	សង្ខេប	ಸಾರಾಂಶ	요약	ສະຫຼຸບ	Kopsavilkums	Ringkasan	Samenvatting	Streszczenie	Resumo	Краткое содержание	สรุป	Özet	Резюме	概括
screen	weighing_export	Export goods	Hàng Xuất	تصدير البضائع	Export zboží	Waren exportieren	Εξαγωγή αγαθών	exportar bienes	Ekspordi kaupu	Vie tavaroita	Exporter des marchandises	माल निर्यात करें	Ekspor barang	Esportare merci	輸出品	ទំនិញនាំចេញ	ಸರಕುಗಳನ್ನು ರಫ್ತು ಮಾಡಿ	수출품	ສິນຄ້າສົ່ງອອກ	Eksportēt preces	Barang eksport	Goederen exporteren	Eksportuj towary	Exportar mercadorias	Экспортные товары	สินค้าส่งออก	İhracat malları	Експортні товари	出口商品
screen	weighing_defective	Defective goods	Hàng Dạt	البضائع المعيبة	Vadné zboží	Defekte Ware	Ελαττωματικά εμπορεύματα	Mercancías defectuosas	Defektiga kaup	Viallinen tavara	Marchandises défectueuses	दोषपूर्ण माल	Barang cacat	Merce difettosa	不良品	ទំនិញខូច	ದೋಷಯುಕ್ತ ಸರಕುಗಳು	불량품	ສິນຄ້າຜິດປົກກະຕິ	Bojātas preces	Barang rosak	Defecte goederen	Towar wadliwy	Mercadorias defeituosas	Дефектный товар	สินค้ามีตำหนิ	Arızalı mallar	Бракований товар	不良品
screen	weighing_bulk	Bulk goods	Hàng Xá	البضائع السائبة	Hromadné zboží	Massenware	Εμπορεύματα χύμα	Productos a granel	Puistekaubad	Irtotavarat	Marchandises en vrac	थोक माल	Barang massal	Merci sfuse	バルク品	ទំនិញច្រើន។	ಬೃಹತ್ ಸರಕುಗಳು	벌크상품	ສິນຄ້າຫຼາຍ	Lielapjoma preces	Barang pukal	Bulkgoederen	Towary masowe	Mercadorias a granel	Массовые товары	สินค้าเทกอง	Toplu mallar	Масові товари	大宗货物
language	selectLanguage	Select Language	Chọn ngôn ngữ	اختار اللغة	Zvolte jazyk	Sprache auswählen	Επιλέξτε γλώσσα	Seleccione el idioma	Vali keel	Valitse kieli	Choisir la langue	भाषा चुने	Pilih bahasa	Seleziona la lingua	言語を選択する	ជ្រើសរើស ភាសា	ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ	언어를 선택하십시오	ເລືອກພາສາ	Izvēlēties valodu	Pilih Bahasa	Selecteer taal	Wybierz język	Selecione o idioma	Выберите язык	เลือกภาษา	Dil Seçin	Оберіть мову	选择语言
language	arabic	Arabic	Tiếng Ả Rập	عربي	arabština	Arabisch	αραβικός	Arábica	Araabia	arabialainen	arabe	अरबी	Arab	Arabo	アラビア語	អារ៉ាប់	ಅರೇಬಿಕ್	아라비아 말	ພາສາອາຣັບ	Arābu	Arab	Arabisch	arabski	árabe	арабский	ภาษาอาหรับ	Arapça	Арабський	阿拉伯
