Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
app_name	Cute Themes	مواضيع لطيف	Roztomilé motivy	Niedliche Themen	Χαριτωμένα θέματα	Temas lindos	Armsad teemad	Söpöjä teemoja	Thèmes mignons	प्यारे विषय-वस्तु	Tema Lucu	Temi carini	かわいいテーマ	ស្បែកគួរឱ្យស្រឡាញ់	ಮುದ್ದಾದ ಥೀಮ್‌ಗಳು	귀여운 테마	ຫົວຂໍ້ໜ້າຮັກ	Jauki motīvi	Tema Comel	Leuke thema's	Śliczne motywy	Temas fofos	Симпатичные темы	ธีมน่ารัก	Sevimli Temalar	Милі теми	可爱的主题	Chủ đề dễ thương
title_themes	Themes	المواضيع	Témata	Themen	Θέματα	Temas	Teemad	Teemat	Thèmes	विषय-वस्तु	Tema	Temi	テーマ	ស្បែក	ಥೀಮ್ಗಳು	테마	ຫົວຂໍ້	Tēmas	Tema	Thema's	Motywy	Temas	Темы	ธีมส์	Temalar	Теми	主题	Chủ đề
title_icon	Icons	أيقونات	ikony	Symbole	εικονίδια	Iconos	Ikoonid	Kuvakkeet	Icônes	माउस	Ikon	Icone	アイコン	រូបតំណាង	ಚಿಹ್ನೆಗಳು	아이콘	ໄອຄອນ	Ikonas	ikon	Pictogrammen	Ikony	Ícones	Иконки	ไอคอน	Simgeler	Ікони	图标	Biểu tượng
title_widget	Widgets	الحاجيات	Widgety	Widgets	Widgets	widgets	Vidinad	Widgetit	Widgets	विजेट	Widget	Widget	ウィジェット	ធាតុក្រាហ្វិក	ವಿಡ್ಗೆಟ್ಗಳು	위젯	ວິດເຈັດ	Logrīki	Widget	Widgets	Widżety	Widgets	Виджеты	วิดเจ็ต	Widget'lar	Віджети	小部件	Widget
title_wallpapers	Wallpapers	خلفيات	Tapety	Hintergrundbilder	Ταπετσαρίες	Fondos de pantalla	Taustapildid	Taustakuvat	Fonds d'écran	वॉलपेपर	Wallpaper	Sfondi	壁紙	ផ្ទាំងរូបភាព	ವಾಲ್‌ಪೇಪರ್‌ಗಳು	배경화면	ພາບພື້ນຫຼັງ	Tapetes	Kertas dinding	Achtergronden	Tapety	Papeis de parede	Обои	วอลเปเปอร์	Duvar kağıtları	Шпалери	壁纸	Hình nền
title_settings	Settings	إعدادات	Nastavení	Einstellungen	Ρυθμίσεις	Ajustes	Seaded	asetukset	Paramètres	समायोजन	Pengaturan	Impostazioni	設定	ការកំណត់	ಸಂಯೋಜನೆಗಳು	설정	ການຕັ້ງຄ່າ	Iestatījumi	tetapan	Instellingen	Ustawienia	Configurações	Настройки	การตั้งค่า	Ayarlar	Налаштування	设置	Cài đặt
loading_failed	Loading failed :((	فشل التحميل :((	Načítání se nezdařilo :((	Laden fehlgeschlagen :((	Η φόρτωση απέτυχε :((	Carga fallida :((	Laadimine ebaõnnestus :((	Lataus epäonnistui :((	Le chargement a échoué :((	लोडिंग विफल :((	Gagal Memuat :((	Caricamento fallito :((	読み込みに失敗しました:((	ការផ្ទុកបរាជ័យ :((	ಲೋಡ್ ವಿಫಲವಾಗಿದೆ :((	로딩 실패 :((	ການໂຫຼດລົ້ມເຫລວ :((	Ielāde neizdevās :((	Memuatkan gagal :((	Laden mislukt :((	Ładowanie nie powiodło się :((	Falha ao carregar :((	Загрузка не удалась :((	โหลดล้มเหลว :((	Yükleme başarısız oldu :((	Не вдалося завантажити :((	加载失败:((	Tải không thành công :((
photo	Photo	صورة	Fotografie	Foto	φωτογραφία	Foto	Foto	Kuva	Photo	तस्वीर	Foto	Foto	写真	រូបថត	ಫೋಟೋ	사진	ຮູບ	Fotoattēls	Foto	Foto	Zdjęcie	foto	Фото	รูปถ่าย	Fotoğraf	Фото	照片	hình chụp
text	Text	نص	Text	Text	Κείμενο	Texto	Tekst	Teksti	Texte	मूलपाठ	Teks	Testo	文章	អត្ថបទ	ಪಠ್ಯ	텍스트	ຂໍ້​ຄວາມ	Teksts	Teks	Tekst	Tekst	Texto	Текст	ข้อความ	Metin	текст	文本	Chữ
gallery	Gallery	صالة عرض	Galerie	Galerie	Εκθεσιακός χώρος	Galería	Galerii	Galleria	Galerie	गैलरी	Galeri	Galleria	ギャラリー	វិចិត្រសាល	ಗ್ಯಾಲರಿ	갤러리	ຄັງຮູບ	Galerija	Galeri	Galerij	Galeria	Galeria	Галерея	แกลเลอรี่	Galeri	Галерея	画廊	Phòng trưng bày
clear	Clear	واضح	Průhledná	Klar	Σαφή	Claro	Selge	Asia selvä	Clair	स्पष्ट	Jernih	Chiaro	クリア	ច្បាស់	ಸ್ಪಷ್ಟ	분명한	ຈະແຈ້ງ	Skaidrs	Jelas	Duidelijk	Jasne	Claro	Прозрачный	ชัดเจน	Temizlemek	ясно	清除	Thông thoáng
please_enter_text	Please enter text	الرجاء إدخال النص	Zadejte text	Bitte geben Sie Text ein	Εισαγάγετε κείμενο	Por favor ingresa texto	Sisestage tekst	Kirjoita teksti	Veuillez saisir du texte	कृपया पाठ दर्ज करें	Silakan masukkan teks	Inserisci il testo	テキストを入力してください	សូមបញ្ចូលអត្ថបទ	ದಯವಿಟ್ಟು ಪಠ್ಯವನ್ನು ನಮೂದಿಸಿ	텍스트를 입력해주세요	ກະລຸນາໃສ່ຂໍ້ຄວາມ	Lūdzu, ievadiet tekstu	Sila masukkan teks	Voer tekst in	Proszę wpisać tekst	Por favor insira o texto	Пожалуйста, введите текст	กรุณากรอกข้อความ	Lütfen metni girin	Будь ласка, введіть текст	请输入文字	Vui lòng nhập văn bản
